chr_type	HiFi_rescued	ONT_rescued	correct	error	mismatch_signal	repeat	correct_pct	ONT_rescued_pct	HiFi_rescued_pct	repeat_pct	mismatch_signal_pct	error_pct
acrocentric	714	16013	178021	25	0	35241	77.39572373855505	6.961750154338432	0.31041588772857304	15.321241315745999	0.0	0.010868903631952838
metacentric	24	2592	101966	35	6610	29	91.64988854533688	2.3297619903645646	0.02157187028115338	0.02606600992306033	5.941252606600992	0.031458977493348673
submetacentric	15	15838	313124	1371	11856	9141	89.12151873514637	4.507819949052925	0.004269307945182086	2.6017162617939635	3.374460999871921	0.39021474618964264
