chr_type	Both Correct	Both Error / Unsupported	HiFi Rescued	ONT Rescued	Uncovered	Both Correct_pct	HiFi Rescued_pct	ONT Rescued_pct	Both Error / Unsupported_pct	Uncovered_pct
acrocentric	40711	35266	1186	152851	0	17.69935743041728	0.5156207882998426	66.45291156190493	15.33211021937795	0.0
metacentric	54054	6674	29062	21466	0	48.58524484072769	26.121737254619976	19.294240310634933	5.998777594017401	0.0
submetacentric	144759	22368	65712	118506	0	41.20138325577424	18.70298424625368	33.72924049011655	6.366392007855527	0.0
