file_number,phrase,trc,readID,telo_length
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.942,9ffe5a1e-1936-4b37-9465-24e88a139101,3910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8d43cb38-e5f6-4492-adf1-b06aac6ab1b3,7210
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,ef87a030-0113-4dbb-998f-0bb9efe6beb9,4720
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,f092567a-8bda-42a1-9c74-cb5412c658d8,6910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.062,0469c202-1aab-4b7d-a87a-96377e01f0d5,2320
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,22dd9b50-dfdd-422a-a0c7-95dd11ef3fba,4870
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,295d5cee-aa67-4a2f-bf3a-5a96b224d654,4300
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.888,c07c5982-b452-402c-9de7-dceec398e171,5470
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,da64f96d-4fc4-4c73-bfd6-715824f65b34,8500
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,df6e54ba-05c1-4d0e-8e85-95410a18e7df,7570
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,214687da-ffe5-4ad7-992e-afebf9a25b01,5140
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,571b6061-9aa6-4880-a787-da01fc9d3029,6190
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.726,f32aedd9-feae-40ab-82e0-d687bed82bba,6070
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.768,6197d5ba-5c19-4223-9a63-e610d6cd3d91,1060
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,01ba4329-a35b-471d-ba96-aa14b0e8c3d6,6100
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.726,5d8e0b9e-26fd-4eda-b632-5a3daa25ff59,1570
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,eda45d65-a3be-4dbd-ae07-839c0d1371f8,2740
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,9c0a1a6c-04d2-4cd7-b3c7-0e3970d33198,4270
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,550e4e8b-b254-44e6-b396-f833ad268afb,9400
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.924,eee974cb-851d-4b88-b6c2-982e10dd3551,2170
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,d1e85077-fb4b-4a63-adc6-646f9fb160bc,3700
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,ba929d7f-7047-4144-88df-413b6180a23e,4630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.924,53a2c724-8e10-45bc-93b6-bc24f50f43d2,1600
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,9c3f645d-b1de-4ed3-804c-ce3d0e53668a,7960
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.858,a7d96f1d-8c54-4c75-9501-15bd5bdde98c,970
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.714,d2883093-c3d7-4b2d-b19f-05b1ccfcc0ed,1300
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,eaab0e1b-c961-414b-a14c-51d57374297d,7480
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.774,28771f7c-8338-492b-943e-97db81a38611,1630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.194,ab84cfaa-f339-49f0-88b8-406066e98882,2410
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.936,3c495ddc-17a9-4b57-8dba-b59154dff685,1960
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,768febbf-998e-462d-b6db-fb8ac941166a,3910
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,152fcb12-c93d-4a75-8a73-75d85467f3d0,7570
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.720,3aa15b87-4821-45e0-8d70-1e83c8b664ea,1780
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,d5bd9c9d-2d33-4f84-bfc2-16358961c2f6,8590
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,9d3fe4d3-17e1-41c8-84c6-618d4486873b,9790
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,d3a13e6b-9ccf-4d7f-b165-3b558c4dbc54,6250
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.720,c21f9438-9319-430f-b4cf-e3d55a4c09ce,1240
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,320f2cfc-1326-4fd4-9be3-c7eed1533fd8,5800
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,053f83e7-a45b-43d9-8e0c-2157823be8e4,7270
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,8051fe96-0681-4122-986c-96c4d15a48d7,6490
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.858,0d344e33-4351-4521-8d6d-3224cb17860d,2920
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,d8ec6323-56ce-46e8-9380-6cab078df611,9460
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.188,b151efff-1017-44d5-bdc2-7ca9c3ed0d28,970
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.020,d84a5d81-2525-43ff-af76-f9d2a5b9b236,2500
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.894,410c43cc-b66d-4699-a64a-0d9b6ba32f47,4630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.972,2c99dbb4-ab93-4978-ae02-246c817affaf,1870
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,bb9a8bbb-720f-4cd7-b6ec-42aae08dffd9,3550
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8d65096c-b7f9-4753-aaa3-a1373577c9ca,5290
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.948,375b8baf-d57e-40dd-a78c-6dedb718ca0a,9220
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,0966061d-6232-45be-a13c-e54025e0baba,6370
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.080,aff2cab1-6884-477f-9af6-b05451cce554,880
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.966,b5ba538a-c7b2-4b0a-b604-b7f885254769,6970
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.786,28e5527d-5783-4eff-98bd-c2b0c394b017,8950
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8a662866-2c85-4edd-bc63-c6029c90e68e,8950
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,289bf54d-8567-4b2f-b846-016b0b8b948b,6370
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.810,24c7f414-865b-49f1-ad39-61d13b7436ba,460
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,216c25e4-0d0e-40e1-a1bf-552ec6867b30,5290
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.482,9fdae254-8c24-4e54-b645-b711a4d65308,1000
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.738,3c153d12-ae7f-4fa4-b251-05fa8d0fbf2f,1000
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.750,a3f4ced8-ee7e-4609-8bcc-0ba9920ab0c0,1510
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,f2d47dac-29c9-45a2-87c7-093a8729407e,5200
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,e319f25d-0182-4337-8611-3f815be6ec0f,9460
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,86b9404c-1cbe-46ed-971b-ed478566b94c,4450
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.786,ad3dd4e7-6894-4136-9b08-5497bfb376eb,1990
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,afb23b36-45cd-45a4-82f3-e403d0de5a83,6580
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,e6eb3b11-1b1c-426e-874f-60c4207b4755,4570
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.702,b0737f96-64d8-4979-bb25-9d2a65ac2fd6,550
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.906,5b54e77f-38fb-442c-a03d-441726b38943,610
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.014,4b232609-a994-4ad8-bbc5-9a7f342fc228,4180
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.906,d60b39ca-f952-492d-a052-5247a4acafcf,7360
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,9a388708-0acf-4868-8467-34cdf1148d54,8950
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,751047f4-c1f3-441e-bbc4-8cb818c87a98,6550
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,161c7987-f140-4c81-9f7d-2b6593f84738,7780
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,61105ce4-4c54-4f10-b704-617aed4822f8,5860
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,97408747-bee7-4f0f-a121-8d1991ac572e,9160
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.924,07382ea1-76d5-43af-86ba-6593713f10c4,1840
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.008,105bd6dc-6567-44d1-9b13-4bfa6c8d9f93,940
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,ff4be6c2-8ec7-4f45-ac9b-04ded616d6de,5650
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.822,1a87dad1-bb19-4eb2-8fec-81a39cefa6bd,5440
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.912,e58a0cc2-f718-4848-9527-145030df4ec8,1630
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,a5a9fe8c-23ab-4f55-a66f-633b9337a926,9340
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,509b4221-4839-4e6b-a796-d8b62de1f41e,4780
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,ffe04965-9938-4ffc-ba44-75755683ab61,7210
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,0.996,34f88b93-a748-47fa-8217-6d6911de7450,5920
11_20_2024_R1041_UL_H9.dorado_0.8.1_sup.5mC_5hmC.fastq,4,1.002,8c5dbe66-14a7-4952-b664-02873e674b1e,7120
